"","X","FID","ct2010","boro_code","cdeligibil","boro_name","ntacode","boro_ct201","shape_area","ctlabel","puma","ntaname","JOIN_FIELD","TRACT_ID","TOTAL_POP","PPL_POV","POV_RATE","FAM_P_RATE","UNEMP_RATE","EMPLOYED","MED_INCOME","TRACT_AREA","CRASH_AREA","CRASH_POP","NUM_CRASH","NUM_DEVS","NUM_UNITS","PERC_CAR","PERC_PUB","PERC_BIKE","PERC_WALK","POP_PH","BIKE_LANES","DIS_2_BIKE","DIS_2_CP","LANE_AREA","Z_TOTAL_POP","Z_PPL_POV","Z_POV_RATE","Z_FAM_P_RATE","Z_UNEMP_RATE","Z_EMPLOYED","Z_MED_INCOME","Z_NUM_DEVS","Z_NUM_UNITS","Z_PERC_CAR","Z_PERC_PUB","Z_PERC_BIKE","Z_PERC_WALK","Z_POP_PH","Z_BIKE_LANES","Z_DIS_2_BIKE","Z_DIS_2_CP","Z_LANE_AREA","POP_DENS","Z_POP_DENS","NUM_BIKERS"
"20",20,19,10200,3,"E","Brooklyn","BK34",3010200,1640687.83875,102,4012,"Sunset Park East",36047010200,36047010200,5257,1147,21.7999992371,21.8999996185,11.8999996185,56.2999992371,43646,0.0588518137,254.877446745,0.0028533384,15,0,0,15.9039420027,62.483008609,0.3624830086,19.1662890802,0,0.5991866725,0.0729498668,10.1870990433,10.1812779476,0.873960035349272,0.551293715986403,0.506374825262458,0.401498905021442,0.199828054147088,0.118011885160587,-0.408603808618072,-0.363296595291551,-0.262768299613823,-0.898796092046974,0.50971184228983,-0.252979172479267,1.77407642714923,-0.226507784551325,0.206092656630989,-0.790205316171253,0.342731421214329,0.863851167093878,89326.0490967673,1.47631647294279,1905.5731762102
"21",21,20,10400,3,"E","Brooklyn","BK34",3010400,1639390.92125,104,4012,"Sunset Park East",36047010400,36047010400,6104,1942,31.8999996185,31.8999996185,14.5,55.5,34412,0.058805293,561.17397505,0.005406291,33,0,0,15.5868902439,56.0594512195,0.5716463415,26.6387195122,0,0.2995364537,0.1473565037,10.3123702756,5.09369886,1.31723484593385,1.66866204324006,1.37996101273229,1.17249114952779,0.630400790593792,0.0516815535133113,-0.787830546374577,-0.363296595291551,-0.262768299613823,-0.91551599786928,0.155286664541301,-0.11860946646574,2.85559433345359,-0.226507784551325,-0.193123647433122,-0.526073245955452,0.379105890143876,0.0727045403601974,103800.180028012,1.96586778250972,3489.329268516
"22",22,21,10800,3,"E","Brooklyn","BK34",3010800,1624849.98804,108,4012,"Sunset Park East",36047010800,36047010800,4661,1739,37.2999992371,36.2000007629,11.1999998093,57.4000015259,31400,0.0582837067,411.778889444,0.0051491096,24,0,0,15.9309994926,61.8467782851,0,18.2648401826,0,0.2959124191,0.1473504525,9.9578682789,5.0771036373,0.562045292600264,1.38334660873378,1.84702684451569,1.50401790289787,0.0839046737106863,0.209216367921544,-0.911528936467992,-0.363296595291551,-0.262768299613823,-0.897369199842911,0.474607299438565,-0.485843769850008,1.643605741173,-0.226507784551325,-0.197951855817573,-0.526094726780952,0.276170670080374,0.0701238916404557,79970.8917621054,1.15990165355616,0
"23",23,22,11000,3,"E","Brooklyn","BK34",3011000,1699091.86361,110,4012,"Sunset Park East",36047011000,36047011000,2482,720,29.1000003815,21.8999996185,9.3000001907,61.5999984741,38618,0.0609467782,164.077582148,0.0040290089,10,0,0,15.6646909399,68.5012701101,5.3344623201,8.2133784928,0,0.8859205657,0.0754001335,9.6223044085,14.53597044,-0.578327567215322,-0.0488525428026669,1.13777877847477,0.401498905021442,-0.230744524362247,0.557450688121059,-0.615096340287956,-0.363296595291551,-0.262768299613823,-0.911413133671481,0.841774478758394,2.94109595115151,0.188813234106271,-0.226507784551325,0.588100871247442,-0.781507247786283,0.178734432297444,1.54102988343497,40724.0558615779,-0.167524497466591,13240.1354784882
"24",24,23,11400,3,"E","Brooklyn","BK88",3011400,1806159.31396,114,4014,"Borough Park",36047011400,36047011400,4481,1613,37.2000007629,28.6000003815,6.6999998093,48.0999984741,42159,0.0647873098,493.923888418,0.0071412631,32,0,0,18.4141546527,31.3237221494,2.4901703801,43.7745740498,0,0,0.3408902331,10.0279656208,0,0.467842853514993,1.20625427007471,1.8383776086216,0.918063767667401,-0.66131726079239,-0.561874725843408,-0.46967270173524,-0.363296595291551,-0.262768299613823,-0.766418592357918,-1.20952797644567,1.11387955286833,5.33574235100842,-0.226507784551325,-0.592188385171217,0.160941605578666,0.296524533758183,-0.719393744757023,69164.7795507015,0.794411911232466,11158.4534732281
"25",25,24,12100,3,"I","Brooklyn","BK37",3012100,1593259.40713,121,4005,"Park Slope-Gowanus",36047012100,36047012100,1824,93,5.1999998093,1.8999999762,6.1999998093,77.1999969482,81875,0.057150546,384.948203588,0.0120614035,22,0,0,12.2807017544,67.2514619883,1.9214703425,7.0175438597,0,0.7730322172,0.0330925081,7.775312451,13.5262437875,-0.922689816760368,-0.930097751844229,-0.929420191026743,-1.14048555641286,-0.744119697959398,1.85089326218528,1.16140474213928,-0.363296595291551,-0.262768299613823,-1.08986973867317,0.772815265216596,0.748537999916848,0.0157347985897564,-0.226507784551325,0.437702618776447,-0.931692784297429,-0.357568678462386,1.38401181623765,31915.7055822354,-0.465444934614765,3504.76190472
"26",26,25,12801,3,"I","Brooklyn","BK30",3012801,1238338.68743,128.01,4013,"Dyker Heights",36047012801,36047012801,1992,366,18.6000003815,16.1000003815,3.5,59.7999992371,44583,0.044419466,135.075914687,0.0030120482,6,0,0,51.3733468973,39.0640895219,0,6.002034588,0,0,0.22399172,10.7620691417,0,-0.834767540280782,-0.546397684749578,0.229595152529027,-0.0456765379655299,-1.19125282708039,0.408207362855078,-0.370122602934962,-0.363296595291551,-0.262768299613823,0.971703260032185,-0.782446701150835,-0.485843769850008,-0.131244349808644,-0.226507784551325,-0.592188385171217,-0.254030063034028,0.509683015731927,-0.719393744757023,44845.2036771446,-0.0281369708777289,0
"27",27,26,13000,3,"E","Brooklyn","BK31",3013000,1899181.55643,130,4013,"Bay Ridge",36047013000,36047013000,4971,1310,26.3999996185,23.5,7,53.5999984741,50306,0.068124037,425.694090839,0.0058338363,29,0,0,17.2644667623,62.0277379244,1.0521281683,12.5777140124,0,1.3364951501,0.0287368194,10.7501721027,19.6185547533,0.724282826580453,0.780389360442184,0.904245780094043,0.524857693555811,-0.611635766911335,-0.105853260894921,-0.135087448052952,-0.363296595291551,-0.262768299613823,-0.827048040764983,0.484591899627403,0.190059366244175,0.820482816917522,-0.226507784551325,1.1883898381961,-0.947154806523925,0.506228523686836,2.33139979519858,72969.8388250244,0.923108532782538,5230.1291246193
"28",28,27,13200,3,"E","Brooklyn","BK30",3013200,1665114.51858,132,4013,"Dyker Heights",36047013200,36047013200,2078,374,18,14.8000001907,7.1999998093,58.7999992371,56442,0.0597280037,50.2276957625,0.0014436959,3,0,0,29.8728813559,53.7076271186,1.5889830509,10.6991525424,0,0.0067557835,0.2200171075,10.9793522423,0.1131091453,-0.789759708273375,-0.535153726739478,0.177698912334789,-0.145905544461887,-0.578514823625381,0.325294369228081,0.116909006665903,-0.363296595291551,-0.262768299613823,-0.162136086415709,0.0255227931454794,0.534943107322144,0.548590306657691,-0.226507784551325,-0.583187828019188,-0.268139323600952,0.572774575115353,-0.701804648407655,34791.0506173505,-0.368193573957333,3301.9067797702
"29",29,28,13300,3,"I","Brooklyn","BK37",3013300,1596011.27323,133,4005,"Park Slope-Gowanus",36047013300,36047013300,4523,250,5.5,3.5999999046,5,77.6999969482,132768,0.057249256,524.024277595,0.0066327659,30,0,0,7.1928460342,69.5178849145,2.0217729394,8.7091757387,0,0.5666132276,0.0496850397,7.4499487831,9.8973029081,0.489823422634889,-0.709435075896023,-0.903472070933949,-1.00941688036708,-0.942845515579369,1.89234975899878,3.25150506319644,-0.363296595291551,-0.262768299613823,-1.35818071982401,0.897867055021545,0.812973913568548,0.260572162371558,-0.226507784551325,0.162695891109875,-0.872791859538269,-0.452043127316611,0.819691481178711,79005.3935373413,1.12724608877212,9144.4790049062
